C001,U2,F001,2026-07-27T10:15:00,2,0,A1|A2,11.0,CONFIRMADA
C002,U3,F001,2026-07-27T10:32:00,1,1,B4|B5,8.25,CONFIRMADA
C003,U4,F002,2026-07-27T11:05:00,3,0,F5|F6|F7,16.5,CONFIRMADA
C004,U5,F003,2026-07-27T11:20:00,2,1,C3|C4|C5,13.75,CONFIRMADA
C005,U6,F004,2026-07-27T12:10:00,2,0,D6|D7,14.0,CONFIRMADA
C006,U7,F004,2026-07-27T12:45:00,1,1,E8|E9,10.5,CONFIRMADA
C007,U2,F005,2026-07-27T13:05:00,2,0,A6|A7,16.0,CONFIRMADA
C008,U3,F006,2026-07-27T13:30:00,2,1,B6|B7|B8,20.0,CONFIRMADA
C009,U4,F007,2026-07-27T14:00:00,1,1,C8|C9,10.5,CONFIRMADA
C010,U5,F009,2026-07-27T14:20:00,2,0,F1|F2,16.0,CONFIRMADA
C011,U6,F010,2026-07-27T14:40:00,2,2,D3|D4|D5|D6,16.5,CONFIRMADA
C012,U7,F011,2026-07-27T15:00:00,3,0,E3|E4|E5,21.0,CONFIRMADA
C013,U6,F013,2026-07-27T04:40:23.192928400,4,0,F7|E5|D5|C5,22.0,CONFIRMADA
