F001,P001,S001,2026-07-27,14:00,5.50,true
F002,P001,S002,2026-07-27,18:00,5.50,true
F003,P002,S001,2026-07-27,16:00,5.50,true
F004,P003,S004,2026-07-27,19:30,7.00,true
F005,P004,S003,2026-07-28,15:00,8.00,true
F006,P004,S003,2026-07-28,18:30,8.00,true
F007,P005,S004,2026-07-28,20:30,7.00,true
F008,P006,S002,2026-07-28,21:00,5.50,true
F009,P007,S003,2026-07-29,17:00,8.00,true
F010,P008,S001,2026-07-29,19:00,5.50,true
F011,P003,S004,2026-07-29,21:30,7.00,true
F012,P002,S002,2026-07-30,14:30,5.50,true
F013,P001,S001,2026-07-30,17:00,5.50,true
F014,P005,S004,2026-07-30,19:30,7.00,true
F015,P007,S003,2026-07-31,16:00,8.00,true
F016,P004,S001,2026-07-31,18:30,5.50,true
F017,P008,S002,2026-07-31,21:00,5.50,true
F018,P003,S004,2026-08-01,15:30,7.00,true
F019,P006,S002,2026-08-01,18:00,5.50,true
F020,P001,S003,2026-08-01,20:30,8.00,true
F021,P005,S004,2026-08-02,14:00,7.00,true
F022,P002,S001,2026-08-02,16:30,5.50,true
F023,P007,S003,2026-08-02,19:00,8.00,true
F024,P008,S002,2026-08-02,21:30,5.50,true
