FAC001,C001,U2,2026-07-27T10:15:00,11.0,0.0,11.0
FAC002,C002,U3,2026-07-27T10:32:00,8.25,0.0,8.25
FAC003,C003,U4,2026-07-27T11:05:00,16.5,0.0,16.5
FAC004,C004,U5,2026-07-27T11:20:00,13.75,0.0,13.75
FAC005,C005,U6,2026-07-27T12:10:00,14.0,0.0,14.0
FAC006,C006,U7,2026-07-27T12:45:00,10.5,0.0,10.5
FAC007,C007,U2,2026-07-27T13:05:00,16.0,0.0,16.0
FAC008,C008,U3,2026-07-27T13:30:00,20.0,0.0,20.0
FAC009,C009,U4,2026-07-27T14:00:00,10.5,0.0,10.5
FAC010,C010,U5,2026-07-27T14:20:00,16.0,0.0,16.0
FAC011,C011,U6,2026-07-27T14:40:00,16.5,0.0,16.5
FAC012,C012,U7,2026-07-27T15:00:00,21.0,0.0,21.0
FAC013,C013,U6,2026-07-27T04:40:23.192928400,22.0,0.0,22.0
